Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A),HeatingCurr(A),SampCurr_order(A)0.453,1.0241e-06,-0.0035906,0,0.128,0
115.05,35.77,-3.3876e-06,-0.0034391,3.5,0.128,0
115.33,35.77,0.0057602,2.3544,3.5,0.128,2.3571
115.61,35.77,-2.5069e-06,-0.0034321,3.5,0.128,0
115.89,35.77,0.0063385,2.5687,3.5,0.128,2.5714
116.17,35.77,-3.6176e-06,-0.0034095,3.5,0.128,0
116.45,35.77,0.0069141,2.783,3.5,0.128,2.7857
116.73,35.77,-2.5482e-06,-0.003393,3.5,0.128,0
117.02,35.77,0.0074786,2.9973,3.5,0.128,3
117.94,35.78,-3.9229e-06,-0.0035819,4,0.128,0
118.2,35.78,-5.0524e-06,-0.0035828,4,0.128,0
118.45,35.78,-5.3763e-06,-0.0035841,4,0.128,0
118.73,35.78,0.00047832,0.21092,4,0.128,0.21429
119.02,35.78,-3.735e-06,-0.0035625,4,0.128,0
119.3,35.78,0.0010001,0.42548,4,0.128,0.42857
119.58,35.78,-4.0121e-06,-0.0035486,4,0.128,0
119.86,35.78,0.0015386,0.63996,4,0.128,0.64286
120.14,35.78,-2.7132e-06,-0.0035352,4,0.128,0
120.42,35.78,0.0020549,0.85433,4,0.128,0.85714
120.7,35.78,-3.9222e-06,-0.0035072,4,0.128,0
120.98,35.78,0.0025936,1.0686,4,0.128,1.0714
121.27,35.78,-2.7498e-06,-0.0034938,4,0.128,0
121.55,35.78,0.0031284,1.2829,4,0.128,1.2857
121.83,35.78,-3.5135e-06,-0.0034734,4,0.128,0
122.11,35.78,0.0036729,1.4972,4,0.128,1.5
122.39,35.78,-3.2755e-06,-0.0034651,4,0.128,0
122.67,35.78,0.0042239,1.7114,4,0.128,1.7143
122.95,35.78,-3.3391e-06,-0.0034393,4,0.128,0
123.23,35.78,0.0047801,1.9257,4,0.128,1.9286
123.52,35.78,-3.2898e-06,-0.0034387,4,0.128,0
123.8,35.78,0.0053427,2.1401,4,0.128,2.1429
124.08,35.78,-4.1334e-06,-0.0034161,4,0.128,0
124.36,35.78,0.0059281,2.3545,4,0.128,2.3571
124.64,35.78,-3.065e-06,-0.003395,4,0.128,0
124.92,35.78,0.0065157,2.5687,4,0.128,2.5714
125.2,35.78,-3.3623e-06,-0.0033883,4,0.128,0
125.48,35.78,0.0070907,2.783,4,0.128,2.7857
125.77,35.78,-3.8532e-06,-0.0033544,4,0.128,0
126.05,35.78,0.0077122,2.9975,4,0.128,3
